,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_intercept,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
34,0.0011260986328125,0.0004479879746730786,0.0007202625274658203,0.00013801202906107494,True,0.7196856730011519,"{'fit_intercept': True, 'C': 0.7196856730011519}",1.0,0.8333333333333334,0.875,0.6666666666666666,0.625,0.8,0.13794121131039042,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
35,0.0014075756072998047,0.00030113236433584883,0.0008202552795410156,4.95912020021145e-05,True,1.1787686347935873,"{'fit_intercept': True, 'C': 1.1787686347935873}",1.0,0.8333333333333334,0.875,0.7083333333333333,0.5625,0.7958333333333334,0.14930394055974097,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
36,0.0024805068969726562,0.0015255406943648626,0.0008234977722167969,0.00019441727507150537,True,3.1622776601683795,"{'fit_intercept': True, 'C': 3.1622776601683795}",1.0,0.7777777777777779,0.8333333333333333,0.7916666666666667,0.5625,0.7930555555555555,0.13988531457793524,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
37,0.0009409904479980469,0.00022726423138170974,0.0007543087005615235,0.00013099267855653667,True,0.2682695795279726,"{'fit_intercept': True, 'C': 0.2682695795279726}",0.8888888888888888,0.8888888888888888,0.875,0.625,0.6875,0.7930555555555555,0.11354963019983164,7,0.9878787878787879,1.0,1.0,1.0,1.0,0.9975757575757577,0.0048484848484848355,Cheesy
38,0.001526784896850586,0.000891344818787005,0.000562286376953125,0.00014727010451736822,True,1.9306977288832496,"{'fit_intercept': True, 'C': 1.9306977288832496}",1.0,0.7777777777777779,0.875,0.7083333333333333,0.5625,0.7847222222222221,0.1481626150343843,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
39,0.002192401885986328,0.0008106278615703515,0.0006169795989990235,0.00012847371795567596,True,5.17947467923121,"{'fit_intercept': True, 'C': 5.17947467923121}",1.0,0.7777777777777779,0.8333333333333333,0.7916666666666666,0.5,0.7805555555555556,0.1611111111111111,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
40,0.0026846885681152343,0.0009414030534056661,0.0005975723266601563,5.027333755756939e-05,True,8.483428982440717,"{'fit_intercept': True, 'C': 8.483428982440717}",1.0,0.7777777777777779,0.8333333333333333,0.7916666666666666,0.5,0.7805555555555556,0.1611111111111111,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
41,0.004121160507202149,0.0013002176095475426,0.000993490219116211,0.00024860567304685945,True,13.894954943731374,"{'fit_intercept': True, 'C': 13.894954943731374}",1.0,0.7222222222222223,0.8333333333333333,0.8333333333333334,0.5,0.7777777777777778,0.16480441082434807,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
42,0.0063364505767822266,0.0008147211135060494,0.0009400844573974609,0.00016526078013270144,True,37.27593720314938,"{'fit_intercept': True, 'C': 37.27593720314938}",1.0,0.7222222222222223,0.8333333333333333,0.8333333333333334,0.5,0.7777777777777778,0.16480441082434807,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
43,0.0007491588592529296,0.00014892307703111347,0.000572967529296875,7.963571710173152e-05,True,0.43939705607607904,"{'fit_intercept': True, 'C': 0.43939705607607904}",0.9444444444444444,0.7777777777777778,0.875,0.5833333333333333,0.6875,0.773611111111111,0.12892001539858106,14,0.996969696969697,1.0,1.0,1.0,1.0,0.9993939393939394,0.00121212121212122,Cheesy
